Well;Date;Oil Rate (bopd);Cum oil (bbls)
AD-08;01/07/2011;194.91;6042.16
AD-08;01/08/2011;1091.95;39892.50
AD-08;01/09/2011;1093.43;72695.30
AD-08;01/10/2011;1085.19;106336.19
AD-08;01/11/2011;931.46;134280.05
AD-08;01/12/2011;521.24;150438.36
AD-08;01/01/2012;916.04;178835.68
AD-08;01/02/2012;1293.82;216356.53
AD-08;01/03/2012;1446.61;261201.30
AD-08;01/04/2012;1390.32;302910.75
AD-08;01/05/2012;1303.07;343306.01
AD-08;01/06/2012;1248.83;380770.92
AD-08;01/07/2012;968.86;410805.67
AD-08;01/08/2012;1119.39;445506.90
AD-08;01/09/2012;1260.33;483316.93
AD-08;01/10/2012;1063.08;516272.49
AD-08;01/11/2012;1190.00;551972.39
AD-08;01/12/2012;754.50;575361.79
AD-08;01/01/2013;705.71;597238.88
AD-08;01/02/2013;1249.57;632226.94
AD-08;01/03/2013;1034.67;664301.83
AD-08;01/04/2013;1020.23;694908.71
AD-08;01/05/2013;1102.66;729091.23
AD-08;01/06/2013;1212.21;765457.43
AD-08;01/07/2013;1046.49;797898.50
AD-08;01/08/2013;777.83;822011.24
AD-08;01/09/2013;691.84;842766.58
AD-08;01/10/2013;931.08;871630.01
AD-08;01/11/2013;1010.34;901940.12
AD-08;01/12/2013;704.81;923789.15
AD-08;01/01/2014;741.56;946777.58
AD-08;01/02/2014;459.15;959633.74
AD-08;01/03/2014;373.68;971217.88
AD-08;01/04/2014;501.51;986263.08
AD-08;01/05/2014;311.23;995911.20
AD-08;01/06/2014;0.00;995911.20
AD-08;01/07/2014;158.08;1000811.58
AD-08;01/08/2014;636.83;1020553.29
AD-08;01/09/2014;550.32;1037062.91
AD-08;01/10/2014;459.17;1051297.14
AD-08;01/11/2014;538.38;1067448.46
AD-08;01/12/2014;565.17;1084968.63
AD-08;01/01/2015;611.74;1103932.46
AD-08;01/02/2015;532.81;1118851.02
AD-08;01/03/2015;741.35;1141832.77
AD-08;01/04/2015;685.83;1162407.70
AD-08;01/05/2015;632.72;1182021.97
AD-08;01/06/2015;672.13;1202185.75
AD-08;01/07/2015;699.98;1223885.23
AD-08;01/08/2015;704.93;1245738.06
AD-08;01/09/2015;0.00;1245738.06
AD-08;01/10/2015;39.44;1246960.73
AD-08;01/11/2015;588.66;1264620.38
AD-08;01/12/2015;362.98;1275872.67
AD-08;01/01/2016;391.84;1288019.75
AD-08;01/02/2016;464.00;1301475.73
AD-08;01/03/2016;583.85;1319575.01
AD-08;01/04/2016;524.01;1335295.42
AD-08;01/05/2016;426.46;1348515.72
AD-08;01/06/2016;270.78;1356639.23
AD-08;01/07/2016;295.94;1365813.35
AD-08;01/08/2016;476.96;1380599.18
AD-08;01/09/2016;341.43;1390842.16
AD-08;01/10/2016;333.54;1401181.87
AD-08;01/11/2016;274.04;1409403.18
AD-09;01/12/2011;28.02;868.57
AD-09;01/01/2012;247.49;8540.67
AD-09;01/02/2012;296.16;17129.33
AD-09;01/03/2012;444.24;30900.67
AD-09;01/04/2012;419.33;43480.43
AD-09;01/05/2012;221.87;50358.33
AD-09;01/06/2012;133.33;54358.20
AD-09;01/07/2012;149.69;58998.53
AD-09;01/08/2012;140.58;63356.55
AD-09;01/09/2012;130.64;67275.84
AD-09;01/10/2012;131.56;71354.19
AD-09;01/11/2012;131.17;75289.22
AD-09;01/12/2012;0.00;75289.22
AD-09;01/01/2013;0.00;75289.22
AD-09;01/02/2013;0.00;75289.22
AD-09;01/03/2013;0.00;75289.22
AD-09;01/04/2013;0.00;75289.22
AD-09;01/05/2013;0.00;75289.22
AD-09;01/06/2013;0.00;75289.22
AD-09;01/07/2013;0.00;75289.22
AD-09;01/08/2013;0.00;75289.22
AD-09;01/09/2013;0.00;75289.22
AD-09;01/10/2013;0.00;75289.22
AD-09;01/11/2013;0.00;75289.22
AD-09;01/12/2013;0.00;75289.22
AD-09;01/01/2014;0.00;75289.22
AD-09;01/02/2014;0.00;75289.22
AD-09;01/03/2014;0.00;75289.22
AD-09;01/04/2014;0.00;75289.22
AD-09;01/05/2014;0.00;75289.22
AD-09;01/06/2014;0.00;75289.22
AD-09;01/07/2014;0.00;75289.22
AD-09;01/08/2014;0.00;75289.22
AD-09;01/09/2014;0.00;75289.22
AD-09;01/10/2014;0.00;75289.22
AD-09;01/11/2014;0.00;75289.22
AD-09;01/12/2014;0.00;75289.22
AD-09;01/01/2015;0.00;75289.22
AD-09;01/02/2015;0.00;75289.22
AD-09;01/03/2015;0.00;75289.22
AD-09;01/04/2015;0.00;75289.22
AD-09;01/05/2015;37.14;76440.46
AD-09;01/06/2015;348.91;86907.74
AD-09;01/07/2015;269.57;95264.42
AD-09;01/08/2015;310.57;104891.98
AD-09;01/09/2015;356.33;115582.00
AD-09;01/10/2015;280.34;124272.49
AD-09;01/11/2015;312.37;133643.71
AD-09;01/12/2015;337.57;144108.40
AD-09;01/01/2016;295.25;153261.01
AD-09;01/02/2016;267.87;161029.31
AD-09;01/03/2016;282.78;169795.37
AD-09;01/04/2016;291.11;178528.56
AD-09;01/05/2016;297.01;187735.88
AD-09;01/06/2016;124.30;191464.88
AD-09;01/07/2016;228.70;198554.52
AD-09;01/08/2016;217.86;205308.28
AD-09;01/09/2016;177.56;210635.05
AD-09;01/10/2016;147.66;215212.41
AD-09;01/11/2016;216.16;221697.20
AD-1;01/09/2011;0.00;0.00
AD-1;01/10/2011;1170.89;36297.50
AD-1;01/11/2011;960.68;65117.98
AD-1;01/12/2011;529.85;81543.31
AD-1;01/01/2012;1019.14;113136.54
AD-1;01/02/2012;824.53;137047.86
AD-1;01/03/2012;1189.80;173931.60
AD-1;01/04/2012;1109.99;207231.28
AD-1;01/05/2012;844.26;233403.36
AD-1;01/06/2012;834.17;258428.58
AD-1;01/07/2012;639.79;278262.00
AD-1;01/08/2012;562.08;295686.55
AD-1;01/09/2012;551.48;312230.93
AD-1;01/10/2012;517.83;328283.69
AD-1;01/11/2012;598.19;346229.37
AD-1;01/12/2012;565.93;363773.06
AD-1;01/01/2013;404.82;376322.41
AD-1;01/02/2013;364.23;386520.71
AD-1;01/03/2013;491.23;401748.70
AD-1;01/04/2013;345.43;412111.48
AD-1;01/05/2013;355.81;423141.68
AD-1;01/06/2013;307.92;432379.21
AD-1;01/07/2013;359.15;443513.01
AD-1;01/08/2013;527.17;459855.15
AD-1;01/09/2013;548.92;476322.83
AD-1;01/10/2013;668.92;497059.47
AD-1;01/11/2013;619.23;515636.45
AD-1;01/12/2013;409.30;528324.66
AD-1;01/01/2014;561.98;545745.90
AD-1;01/02/2014;625.30;563254.41
AD-1;01/03/2014;379.69;575024.76
AD-1;01/04/2014;0.00;575024.76
AD-1;01/05/2014;0.00;575024.76
AD-1;01/06/2014;0.00;575024.76
AD-1;01/07/2014;0.00;575024.76
AD-1;01/08/2014;0.00;575024.76
AD-1;01/09/2014;0.00;575024.76
AD-1;01/10/2014;0.00;575024.76
AD-1;01/11/2014;6.83;575229.76
AD-1;01/12/2014;0.00;575229.76
AD-1;01/01/2015;395.06;587476.61
AD-1;01/02/2015;425.57;599392.56
AD-1;01/03/2015;64.55;601393.59
AD-1;01/04/2015;0.00;601393.59
AD-1;01/05/2015;0.00;601393.59
AD-1;01/06/2015;0.00;601393.59
AD-1;01/07/2015;0.00;601393.59
AD-1;01/08/2015;0.00;601393.59
AD-1;01/09/2015;0.00;601393.59
AD-1;01/10/2015;0.00;601393.59
AD-1;01/11/2015;488.16;616038.41
AD-1;01/12/2015;418.28;629004.97
AD-1;01/01/2016;364.88;640316.37
AD-1;01/02/2016;342.79;650257.33
AD-1;01/03/2016;84.20;652867.67
AD-1;01/04/2016;30.27;653775.85
AD-1;01/05/2016;249.07;661496.97
AD-1;01/06/2016;291.13;670230.80
AD-1;01/07/2016;290.46;679235.00
AD-1;01/08/2016;264.00;687419.12
AD-1;01/09/2016;276.30;695708.22
AD-1;01/10/2016;265.74;703946.09
AD-1;01/11/2016;191.50;709691.09
AD-104H;01/01/2012;216.77;6720.00
AD-104H;01/02/2012;0.00;6720.00
AD-104H;01/03/2012;0.00;6720.00
AD-104H;01/04/2012;0.00;6720.00
AD-104H;01/05/2012;0.00;6720.00
AD-104H;01/06/2012;0.00;6720.00
AD-104H;01/07/2012;0.00;6720.00
AD-104H;01/08/2012;0.00;6720.00
AD-104H;01/09/2012;0.00;6720.00
AD-10H;01/12/2011;179.29;5557.88
AD-10H;01/01/2012;1583.56;54648.28
AD-10H;01/02/2012;1475.34;97433.17
AD-10H;01/03/2012;1226.84;135465.06
AD-10H;01/04/2012;1350.40;175977.06
AD-10H;01/05/2012;1515.48;222956.80
AD-10H;01/06/2012;1433.21;265952.97
AD-10H;01/07/2012;1237.76;304323.45
AD-10H;01/08/2012;1804.54;360264.07
AD-10H;01/09/2012;2209.36;426544.98
AD-10H;01/10/2012;1511.56;473403.48
AD-10H;01/11/2012;1435.51;516468.77
AD-10H;01/12/2012;1057.93;549264.56
AD-10H;01/01/2013;1401.95;592724.88
AD-10H;01/02/2013;948.62;619286.20
AD-10H;01/03/2013;251.26;627075.31
AD-10H;01/04/2013;641.88;646331.83
AD-10H;01/05/2013;799.21;671107.28
AD-10H;01/06/2013;1278.15;709451.80
AD-10H;01/07/2013;366.36;720808.93
AD-10H;01/08/2013;0.00;720808.93
AD-10H;01/09/2013;0.00;720808.93
AD-10H;01/10/2013;0.00;720808.93
AD-10H;01/11/2013;0.00;720808.93
AD-10H;01/12/2013;0.00;720808.93
AD-10H;01/01/2014;0.00;720808.93
AD-10H;01/02/2014;439.73;733121.34
AD-10H;01/03/2014;519.94;749239.59
AD-10H;01/04/2014;36.89;750346.15
AD-10H;01/05/2014;412.86;763144.94
AD-10H;01/06/2014;0.00;763144.94
AD-10H;01/07/2014;0.00;763144.94
AD-10H;01/08/2014;414.67;775999.65
AD-10H;01/09/2014;653.72;795611.39
AD-10H;01/10/2014;780.32;819801.38
AD-10H;01/11/2014;593.82;837615.86
AD-10H;01/12/2014;577.51;855518.75
AD-10H;01/01/2015;651.41;875712.31
AD-10H;01/02/2015;459.03;888565.19
AD-10H;01/03/2015;86.82;891256.63
AD-10H;01/04/2015;0.00;891256.63
AD-10H;01/05/2015;0.00;891256.63
AD-10H;01/06/2015;0.00;891256.63
AD-10H;01/07/2015;203.61;897568.54
AD-10H;01/08/2015;429.09;910870.42
AD-10H;01/09/2015;662.75;930752.82
AD-10H;01/10/2015;468.71;945282.94
AD-10H;01/11/2015;429.24;958160.12
AD-10H;01/12/2015;499.31;973638.87
AD-10H;01/01/2016;504.57;989280.53
AD-10H;01/02/2016;487.79;1003426.53
AD-10H;01/03/2016;130.63;1007475.98
AD-10H;01/04/2016;269.91;1015573.37
AD-10H;01/05/2016;322.45;1025569.19
AD-10H;01/06/2016;301.09;1034601.85
AD-10H;01/07/2016;319.36;1044502.11
AD-10H;01/08/2016;356.69;1055559.49
AD-10H;01/09/2016;432.19;1068525.17
AD-10H;01/10/2016;414.12;1081362.93
AD-10H;01/11/2016;310.81;1090687.21
AD-11;01/07/2011;515.38;15976.92
AD-11;01/08/2011;1059.09;48808.65
AD-11;01/09/2011;603.63;66917.65
AD-11;01/10/2011;647.76;86998.25
AD-11;01/11/2011;687.97;107637.25
AD-11;01/12/2011;370.02;119107.93
AD-11;01/01/2012;650.13;139262.07
AD-11;01/02/2012;1224.57;174774.60
AD-11;01/03/2012;455.57;188897.12
AD-11;01/04/2012;848.33;214347.02
AD-11;01/05/2012;779.64;238515.90
AD-11;01/06/2012;1404.30;280645.00
AD-11;01/07/2012;1308.74;321215.96
AD-11;01/08/2012;1267.58;360510.91
AD-11;01/09/2012;1283.46;399014.83
AD-11;01/10/2012;1112.47;433501.29
AD-11;01/11/2012;93.96;436320.17
AD-11;01/12/2012;0.00;436320.17
AD-11;01/01/2013;0.00;436320.17
AD-11;01/02/2013;1129.41;467943.52
AD-11;01/03/2013;1088.89;501699.02
AD-11;01/04/2013;1109.86;534994.93
AD-11;01/05/2013;1011.38;566347.65
AD-11;01/06/2013;1019.75;596940.12
AD-11;01/07/2013;921.25;625499.01
AD-11;01/08/2013;919.70;654009.73
AD-11;01/09/2013;823.67;678719.71
AD-11;01/10/2013;662.61;699260.73
AD-11;01/11/2013;861.28;725099.25
AD-11;01/12/2013;431.22;738467.04
AD-11;01/01/2014;272.15;746903.63
AD-11;01/02/2014;85.60;749300.40
AD-11;01/03/2014;0.00;749300.40
AD-11;01/04/2014;0.00;749300.40
AD-11;01/05/2014;0.00;749300.40
AD-11;01/06/2014;397.41;761222.72
AD-11;01/07/2014;712.33;783304.88
AD-11;01/08/2014;870.77;810298.61
AD-11;01/09/2014;742.13;832562.40
AD-11;01/10/2014;807.89;857607.09
AD-11;01/11/2014;806.08;881789.48
AD-11;01/12/2014;709.95;903797.84
AD-11;01/01/2015;638.58;923593.75
AD-11;01/02/2015;646.67;941700.42
AD-11;01/03/2015;777.18;965792.86
AD-11;01/04/2015;618.05;984334.24
AD-11;01/05/2015;580.36;1002325.48
AD-11;01/06/2015;473.56;1016532.39
AD-11;01/07/2015;460.97;1030822.34
AD-11;01/08/2015;147.80;1035404.19
AD-11;01/09/2015;429.44;1048287.31
AD-11;01/10/2015;377.26;1059982.45
AD-11;01/11/2015;410.16;1072287.29
AD-11;01/12/2015;396.67;1084584.21
AD-11;01/01/2016;383.74;1096480.09
AD-11;01/02/2016;353.15;1106721.46
AD-11;01/03/2016;322.36;1116714.58
AD-11;01/04/2016;345.54;1127080.72
AD-11;01/05/2016;353.42;1138036.84
AD-11;01/06/2016;301.95;1147095.36
AD-11;01/07/2016;243.83;1154654.10
AD-11;01/08/2016;232.41;1161858.96
AD-11;01/09/2016;271.24;1169996.22
AD-11;01/10/2016;232.57;1177205.91
AD-11;01/11/2016;182.26;1182673.72
AD1-10-1H;01/03/2012;274.65;8514.30
AD1-10-1H;01/04/2012;2131.02;72444.91
AD1-10-1H;01/05/2012;1495.74;118812.85
AD1-10-1H;01/06/2012;1346.71;159214.03
AD1-10-1H;01/07/2012;1372.99;201776.75
AD1-10-1H;01/08/2012;1267.53;241070.06
AD1-10-1H;01/09/2012;1181.78;276523.39
AD1-10-1H;01/10/2012;830.08;302255.96
AD1-10-1H;01/11/2012;846.99;327665.51
AD1-10-1H;01/12/2012;948.95;357082.89
AD1-10-1H;01/01/2013;936.94;386128.00
AD1-10-1H;01/02/2013;866.57;410391.83
AD1-10-1H;01/03/2013;805.30;435356.12
AD1-10-1H;01/04/2013;760.90;458182.98
AD1-10-1H;01/05/2013;721.69;480555.30
AD1-10-1H;01/06/2013;859.03;506326.11
AD1-10-1H;01/07/2013;656.85;526688.51
AD1-10-1H;01/08/2013;392.85;538866.91
AD1-10-1H;01/09/2013;0.00;538866.91
AD1-10-1H;01/10/2013;0.00;538866.91
AD1-10-1H;01/11/2013;0.00;538866.91
AD1-10-1H;01/12/2013;0.00;538866.91
AD1-10-1H;01/01/2014;0.00;538866.91
AD1-10-1H;01/02/2014;0.00;538866.91
AD1-10-1H;01/03/2014;0.00;538866.91
AD1-10-1H;01/04/2014;0.00;538866.91
AD1-10-1H;01/05/2014;0.00;538866.91
AD1-10-1H;01/06/2014;0.00;538866.91
AD1-10-2H;01/12/2011;570.38;17681.88
AD1-10-2H;01/01/2012;1141.20;53059.14
AD1-10-2H;01/02/2012;1246.90;89219.13
AD1-10-2H;01/03/2012;1625.37;139605.59
AD1-10-2H;01/04/2012;2099.79;202599.36
AD1-10-2H;01/05/2012;2136.27;268823.62
AD1-10-2H;01/06/2012;1962.86;327709.53
AD1-10-2H;01/07/2012;1905.81;386789.50
AD1-10-2H;01/08/2012;1491.05;433012.14
AD1-10-2H;01/09/2012;1696.85;483917.62
AD1-10-2H;01/10/2012;1621.35;534179.47
AD1-10-2H;01/11/2012;1430.36;577090.37
AD1-10-2H;01/12/2012;373.72;588675.54
AD1-10-2H;01/01/2013;798.60;613432.06
AD1-10-2H;01/02/2013;1207.00;647228.08
AD1-10-2H;01/03/2013;1288.26;687164.16
AD1-10-2H;01/04/2013;481.44;701607.26
AD1-10-2H;01/05/2013;381.36;713429.55
AD1-10-2H;01/06/2013;1254.01;751049.71
AD1-10-2H;01/07/2013;1492.05;797303.30
AD1-10-2H;01/08/2013;1436.15;841824.03
AD1-10-2H;01/09/2013;1452.78;885407.50
AD1-10-2H;01/10/2013;1086.76;919097.00
AD1-10-2H;01/11/2013;22.63;919775.83
AD1-10-2H;01/12/2013;0.00;919775.83
AD1-10-3H;01/06/2012;10.69;320.83
AD1-10-3H;01/07/2012;0.00;320.83
AD1-10-3H;01/08/2012;0.00;320.83
AD1-10-3H;01/09/2012;0.00;320.83
AD1-10-3H;01/10/2012;0.00;320.83
AD1-10-3H;01/11/2012;0.00;320.83
AD1-10-3H;01/12/2012;1459.50;45565.35
AD1-10-3H;01/01/2013;876.83;72747.04
AD1-10-3H;01/02/2013;532.84;87666.50
AD1-10-3H;01/03/2013;154.00;92440.50
AD1-10-3H;01/04/2013;47.91;93877.83
AD1-10-3H;01/05/2013;0.00;93877.83
AD1-10-3H;01/06/2013;0.00;93877.83
AD1-10-3H;01/07/2013;0.00;93877.83
AD1-10-4H;01/12/2012;795.96;24674.86
AD1-10-4H;01/01/2013;1051.67;57276.54
AD1-10-4H;01/02/2013;932.50;83386.54
AD1-10-4H;01/03/2013;878.87;110631.54
AD1-10-4H;01/04/2013;698.76;131594.34
AD1-10-4H;01/05/2013;586.19;149766.34
AD1-10-4H;01/06/2013;673.03;169957.34
AD1-10-4H;01/07/2013;778.49;194090.55
AD1-10-4H;01/08/2013;732.79;216807.17
AD1-10-4H;01/09/2013;737.53;238933.17
AD1-10-4H;01/10/2013;704.87;260784.17
AD1-10-4H;01/11/2013;677.40;281106.17
AD1-10-4H;01/12/2013;27.74;281966.00
AD1-10-4H;01/01/2014;0.00;281966.00
AD1-10-4H;01/02/2014;0.00;281966.00
AD1-10-5H;01/04/2012;174.44;5233.27
AD1-10-5H;01/05/2012;1962.20;66061.51
AD1-10-5H;01/06/2012;1769.21;119137.83
AD1-10-5H;01/07/2012;1706.61;172042.83
AD1-10-5H;01/08/2012;1551.26;220131.83
AD1-10-5H;01/09/2012;1681.57;270578.83
AD1-10-5H;01/10/2012;1572.94;319339.83
AD1-10-5H;01/11/2012;1443.20;362635.83
AD1-10-5H;01/12/2012;1129.42;397647.97
AD1-10-5H;01/01/2013;620.30;416877.17
AD1-10-5H;01/02/2013;999.21;444855.17
AD1-10-5H;01/03/2013;1069.77;478018.17
AD1-10-5H;01/04/2013;1100.01;511018.37
AD1-10-5H;01/05/2013;1101.77;545173.17
AD1-10-5H;01/06/2013;1051.17;576708.17
AD1-10-5H;01/07/2013;1052.65;609340.17
AD1-10-5H;01/08/2013;1100.35;643451.17
AD1-10-5H;01/09/2013;1186.70;679052.17
AD1-10-5H;01/10/2013;1137.00;714299.17
AD1-10-5H;01/11/2013;1090.00;746999.17
AD1-10-5H;01/12/2013;915.30;775373.35
AD1-10-5H;01/01/2014;968.00;805381.35
AD1-10-5H;01/02/2014;966.50;832443.35
AD1-10-5H;01/03/2014;946.87;861796.35
AD1-10-5H;01/04/2014;577.76;879129.20
AD1-11-1H;01/11/2012;1147.39;34421.75
AD1-11-1H;01/12/2012;1445.04;79217.92
AD1-11-1H;01/01/2013;1414.94;123081.21
AD1-11-1H;01/02/2013;1383.76;161826.59
AD1-11-1H;01/03/2013;1352.67;203759.23
AD1-11-1H;01/04/2013;1892.62;260537.80
AD1-11-1H;01/05/2013;2142.97;326969.72
AD1-11-1H;01/06/2013;1807.35;381190.25
AD1-11-1H;01/07/2013;840.13;407234.40
AD1-11-1H;01/08/2013;1189.23;444100.60
AD1-11-1H;01/09/2013;1272.32;482270.26
AD1-11-1H;01/10/2013;1149.08;517891.73
AD1-11-1H;01/11/2013;1344.50;558226.82
AD1-11-1H;01/12/2013;1079.11;591679.24
AD1-11-1H;01/01/2014;1293.37;631773.56
AD1-11-1H;01/02/2014;1222.08;665991.77
AD1-11-1H;01/03/2014;1023.54;697721.65
AD1-11-1H;01/04/2014;1068.72;729783.12
AD1-11-1H;01/05/2014;720.69;752124.53
AD1-11-1H;01/06/2014;1404.44;794257.67
AD1-11-1H;01/07/2014;1082.83;827825.38
AD1-11-1H;01/08/2014;899.76;855717.84
AD1-11-1H;01/09/2014;936.76;883820.75
AD1-11-1H;01/10/2014;924.90;912492.78
AD1-11-1H;01/11/2014;1073.17;944687.78
AD1-11-1H;01/12/2014;941.37;973870.17
AD1-11-1H;01/01/2015;825.68;999466.21
AD1-11-1H;01/02/2015;776.78;1021216.10
AD1-11-1H;01/03/2015;668.94;1041953.12
AD1-11-1H;01/04/2015;560.67;1058773.11
AD1-11-1H;01/05/2015;584.47;1076891.69
AD1-11-1H;01/06/2015;761.37;1099732.81
AD1-11-1H;01/07/2015;636.84;1119474.80
AD1-11-1H;01/08/2015;618.04;1138633.99
AD1-11-1H;01/09/2015;720.45;1160247.39
AD1-11-1H;01/10/2015;844.76;1186435.03
AD1-11-1H;01/11/2015;811.88;1210791.57
AD1-11-1H;01/12/2015;766.13;1234541.50
AD1-11-1H;01/01/2016;581.77;1252576.23
AD1-11-1H;01/02/2016;668.78;1271970.93
AD1-11-1H;01/03/2016;735.28;1294764.48
AD1-11-1H;01/04/2016;795.47;1318628.55
AD1-11-1H;01/05/2016;727.13;1341169.59
AD1-11-1H;01/06/2016;675.88;1361446.04
AD1-11-1H;01/07/2016;521.18;1377602.48
AD1-11-1H;01/08/2016;558.31;1394910.12
AD1-11-1H;01/09/2016;565.44;1411873.46
AD1-11-1H;01/10/2016;571.82;1429599.80
AD1-11-1H;01/11/2016;393.97;1441418.99
AD1-11-2H;01/12/2012;1784.96;55333.65
AD1-11-2H;01/01/2013;1842.99;112466.33
AD1-11-2H;01/02/2013;1752.89;161547.33
AD1-11-2H;01/03/2013;1814.90;217809.17
AD1-11-2H;01/04/2013;1706.86;269014.99
AD1-11-2H;01/05/2013;1336.18;310436.53
AD1-11-2H;01/06/2013;1320.09;350039.33
AD1-11-2H;01/07/2013;1410.19;393755.09
AD1-11-2H;01/08/2013;454.96;407858.98
AD1-11-2H;01/09/2013;214.67;414299.11
AD1-11-2H;01/10/2013;0.00;414299.11
AD1-11-2H;01/11/2013;0.00;414299.11
AD1-11-2H;01/12/2013;0.00;414299.11
AD1-11-2H;01/01/2014;0.00;414299.11
AD1-11-2H;01/02/2014;143.19;418308.56
AD1-11-2H;01/03/2014;1380.39;461100.73
AD1-11-2H;01/04/2014;1193.64;496909.97
AD1-11-2H;01/05/2014;1261.83;536026.57
AD1-11-2H;01/06/2014;864.29;561955.24
AD1-11-2H;01/07/2014;848.53;588259.60
AD1-11-2H;01/08/2014;760.11;611822.86
AD1-11-2H;01/09/2014;705.69;632993.46
AD1-11-2H;01/10/2014;450.03;646944.40
AD1-11-2H;01/11/2014;616.39;665436.13
AD1-11-2H;01/12/2014;564.88;682947.40
AD1-11-2H;01/01/2015;529.91;699374.71
AD1-11-2H;01/02/2015;540.12;714498.17
AD1-11-2H;01/03/2015;79.89;716974.72
AD1-11-2H;01/04/2015;84.73;719516.49
